id;code;name;country;membership;state;close_reason;email_domains;vat_id;bank;iban;logo;notes;created;updated;trialed;declined;activated;closed
1;meh monumental;hmph;Sweden;gondola;NEW;ew extroverted;besides along into;squeal hmph inasmuch;without to;ES3187541598616620955830;duh;absent;2023-12-17T18:36:12;2023-12-17T20:27:04;2023-12-18T07:21:12;2023-12-18T04:31:44;2023-12-17T20:29:35;2023-12-18T11:14:57
2;properly where subsection;autowind but;Wallis and Futuna;envious what mid;TRIAL;whoever until;whose;even;oof snitch loudly;HR5782525038005759007;scholarly sleepily;since;2023-12-17T22:58:53;2023-12-18T11:02:56;2023-12-18T02:52:55;2023-12-17T15:35:20;2023-12-17T17:56:25;2023-12-17T21:46:37
3;who stitch;the quickly;Samoa;incidentally;TRIAL;deeply ouch anti;scholarly accommodation;joyously;amid unlike;CY08069345229552L1675T254172;peer politely;uh-huh idealistic anti;2023-12-18T03:18:24;2023-12-18T05:17:36;2023-12-18T04:41:06;2023-12-18T04:53:43;2023-12-17T18:36:06;2023-12-18T03:19:32
4;toward thirst pfft;whereas;Portugal;potter psst;ACTIVE;meteorology royal;fragment;daintily hiccups above;nearer boohoo;SM52K00938553617661978M3Z82;than from;whose;2023-12-18T10:33:56;2023-12-17T17:46:39;2023-12-17T18:19:34;2023-12-17T21:27:11;2023-12-17T15:20:01;2023-12-18T09:20:55
5;reformulate boohoo how;of mmm;Maldives;overstay but;TRIAL;unto proposition fully;oh ordinary;dissuade;rightfully;BG76KLZK18107752630411;deserted;yippee stingy;2023-12-18T01:18:54;2023-12-18T04:35:59;2023-12-18T11:01:40;2023-12-18T02:14:18;2023-12-18T11:10:18;2023-12-18T05:05:30
6;lovable rapidly so;ouch spruce that;Germany;fooey;TRIAL;latex;integer than venerated;hence exhausted;unto partially pish;LV29FKNA0O625616PT468;brr panic;between fatally rightfully;2023-12-17T15:48:29;2023-12-18T01:35:39;2023-12-17T22:57:22;2023-12-18T04:24:35;2023-12-17T14:07:37;2023-12-17T15:18:54
7;oh square;virtual pace scope;Slovenia;yippee oof;CLOSED;on volunteering queasily;inasmuch procure;worriedly mysteriously;snake;AT577598730077103495;gadzooks;whenever until;2023-12-18T04:39:06;2023-12-18T02:33:14;2023-12-17T18:22:15;2023-12-18T11:10:50;2023-12-18T03:11:40;2023-12-18T11:33:27
8;pfft whenever jolt;decide phew;Madagascar;speedy tugboat bottom;ACTIVE;pfft;ouch phooey;dismal past questioningly;creepy;NL69JTIN4760410062;ick;cocktail forenenst frenetically;2023-12-17T21:54:51;2023-12-18T06:38:04;2023-12-17T21:25:04;2023-12-17T17:49:50;2023-12-17T12:33:04;2023-12-17T23:06:40
9;boo atop;generally poorly satellite;Libyan Arab Jamahiriya;powerfully panic pace;CLOSED;and;willfully;sadly yum whereas;adventurously;TN3705004580700740200919;chest but till;icon after whoever;2023-12-18T09:21:45;2023-12-17T12:48:59;2023-12-18T04:26:31;2023-12-18T04:42:57;2023-12-18T07:50:33;2023-12-17T19:07:03
10;ouch;stretch rightfully;Nepal;excitedly although since;TRIAL;tech;grant;psst wherever;anti unto;LU804445Y70332Y46201;where;lark demonstrate;2023-12-17T15:28:41;2023-12-17T15:28:38;2023-12-17T15:58:18;2023-12-18T06:08:39;2023-12-17T12:46:08;2023-12-17T17:12:25
